InstanceType,vCPUs,MemoryGiB,Storage,BaseClockSpeedGhz,Region
c7i.16xlarge,64,128.0,N/A,3.2,ap-northeast-2
r7g.medium,1,8.0,N/A,2.6,ap-northeast-2
c6in.8xlarge,32,64.0,N/A,3.5,ap-northeast-2
c6id.large,2,4.0,118,3.5,ap-northeast-2
m5ad.8xlarge,32,128.0,1200,2.5,ap-northeast-2
g5.24xlarge,96,384.0,3800,3.3,ap-northeast-2
m7g.16xlarge,64,256.0,N/A,2.6,ap-northeast-2
m7g.8xlarge,32,128.0,N/A,2.6,ap-northeast-2
x2idn.24xlarge,96,1536.0,2850,3.5,ap-northeast-2
p3.2xlarge,8,61.0,N/A,2.7,ap-northeast-2
r6i.4xlarge,16,128.0,N/A,3.5,ap-northeast-2
inf1.xlarge,4,8.0,N/A,2.5,ap-northeast-2
t3a.medium,2,4.0,N/A,2.2,ap-northeast-2
c7i-flex.4xlarge,16,32.0,N/A,3.2,ap-northeast-2
r5d.4xlarge,16,128.0,600,3.1,ap-northeast-2
c5n.4xlarge,16,42.0,N/A,3.4,ap-northeast-2
m5.metal,96,384.0,N/A,3.1,ap-northeast-2
m5d.16xlarge,64,256.0,2400,3.1,ap-northeast-2
c6i.16xlarge,64,128.0,N/A,3.5,ap-northeast-2
p2.8xlarge,32,488.0,N/A,2.7,ap-northeast-2
m5.xlarge,4,16.0,N/A,3.1,ap-northeast-2
c6i.24xlarge,96,192.0,N/A,3.5,ap-northeast-2
t4g.medium,2,4.0,N/A,2.5,ap-northeast-2
t3.large,2,8.0,N/A,2.5,ap-northeast-2
t3a.small,2,2.0,N/A,2.2,ap-northeast-2
r6gd.large,2,16.0,118,2.5,ap-northeast-2
r5ad.8xlarge,32,256.0,1200,2.5,ap-northeast-2
r5a.12xlarge,48,384.0,N/A,2.5,ap-northeast-2
c5a.4xlarge,16,32.0,N/A,3.3,ap-northeast-2
t2.micro,1,1.0,N/A,2.5,ap-northeast-2
c5.12xlarge,48,96.0,N/A,3.6,ap-northeast-2
c6in.16xlarge,64,128.0,N/A,3.5,ap-northeast-2
r5.large,2,16.0,N/A,3.1,ap-northeast-2
m6id.32xlarge,128,512.0,7600,3.5,ap-northeast-2
r5ad.12xlarge,48,384.0,1800,2.2,ap-northeast-2
c7i.xlarge,4,8.0,N/A,3.2,ap-northeast-2
c5d.2xlarge,8,16.0,200,3.4,ap-northeast-2
i4i.metal,128,1024.0,30000,3.5,ap-northeast-2
m5d.large,2,8.0,75,3.1,ap-northeast-2
t3.xlarge,4,16.0,N/A,2.5,ap-northeast-2
c7i.metal-24xl,96,192.0,N/A,3.2,ap-northeast-2
r5a.large,2,16.0,N/A,2.5,ap-northeast-2
m6gd.metal,64,256.0,3800,2.5,ap-northeast-2
g5g.2xlarge,8,16.0,N/A,2.5,ap-northeast-2
c6gn.4xlarge,16,32.0,N/A,2.5,ap-northeast-2
c7i.large,2,4.0,N/A,3.2,ap-northeast-2
c5.xlarge,4,8.0,N/A,3.4,ap-northeast-2
r6gd.metal,64,512.0,3800,2.5,ap-northeast-2
c5a.12xlarge,48,96.0,N/A,3.3,ap-northeast-2
r5a.16xlarge,64,512.0,N/A,2.5,ap-northeast-2
r6g.12xlarge,48,384.0,N/A,2.5,ap-northeast-2
r5b.large,2,16.0,N/A,3.1,ap-northeast-2
mac1.metal,12,32.0,N/A,3.2,ap-northeast-2
m5zn.3xlarge,12,48.0,N/A,4.5,ap-northeast-2
g4dn.metal,96,384.0,1800,2.5,ap-northeast-2
c6id.16xlarge,64,128.0,3800,3.5,ap-northeast-2
t2.large,2,8.0,N/A,2.3,ap-northeast-2
c6g.large,2,4.0,N/A,2.5,ap-northeast-2
x2iedn.metal,128,4096.0,3800,3.5,ap-northeast-2
m7g.12xlarge,48,192.0,N/A,2.6,ap-northeast-2
m6gd.16xlarge,64,256.0,3800,2.5,ap-northeast-2
c6g.xlarge,4,8.0,N/A,2.5,ap-northeast-2
i4i.4xlarge,16,128.0,3750,3.5,ap-northeast-2
c6gd.16xlarge,64,128.0,3800,2.5,ap-northeast-2
r6g.4xlarge,16,128.0,N/A,2.5,ap-northeast-2
r5n.16xlarge,64,512.0,N/A,3.1,ap-northeast-2
m6g.metal,64,256.0,N/A,2.5,ap-northeast-2
r5b.metal,96,768.0,N/A,3.1,ap-northeast-2
c5a.xlarge,4,8.0,N/A,3.3,ap-northeast-2
t4g.2xlarge,8,32.0,N/A,2.5,ap-northeast-2
c4.large,2,3.75,N/A,2.9,ap-northeast-2
r7i.16xlarge,64,512.0,N/A,3.2,ap-northeast-2
m5d.metal,96,384.0,3600,3.1,ap-northeast-2
u-12tb1.112xlarge,448,12288.0,N/A,2.1,ap-northeast-2
m6i.8xlarge,32,128.0,N/A,3.5,ap-northeast-2
r7i.8xlarge,32,256.0,N/A,3.2,ap-northeast-2
r6id.4xlarge,16,128.0,950,3.5,ap-northeast-2
c5d.24xlarge,96,192.0,3600,3.6,ap-northeast-2
r5.4xlarge,16,128.0,N/A,3.1,ap-northeast-2
c7g.4xlarge,16,32.0,N/A,2.6,ap-northeast-2
r5n.4xlarge,16,128.0,N/A,3.1,ap-northeast-2
c7g.xlarge,4,8.0,N/A,2.6,ap-northeast-2
c7i-flex.xlarge,4,8.0,N/A,3.2,ap-northeast-2
t3.2xlarge,8,32.0,N/A,2.5,ap-northeast-2
c5n.9xlarge,36,96.0,N/A,3.4,ap-northeast-2
m6g.xlarge,4,16.0,N/A,2.5,ap-northeast-2
m5.12xlarge,48,192.0,N/A,3.1,ap-northeast-2
c6in.12xlarge,48,96.0,N/A,3.5,ap-northeast-2
c6g.12xlarge,48,96.0,N/A,2.5,ap-northeast-2
r6i.24xlarge,96,768.0,N/A,3.5,ap-northeast-2
r7g.2xlarge,8,64.0,N/A,2.6,ap-northeast-2
r7g.xlarge,4,32.0,N/A,2.6,ap-northeast-2
i2.xlarge,4,30.5,800,2.5,ap-northeast-2
g5g.metal,64,128.0,N/A,2.5,ap-northeast-2
c7i.24xlarge,96,192.0,N/A,3.2,ap-northeast-2
t4g.small,2,2.0,N/A,2.5,ap-northeast-2
r5d.16xlarge,64,512.0,2400,3.1,ap-northeast-2
c7i-flex.large,2,4.0,N/A,3.2,ap-northeast-2
c5a.2xlarge,8,16.0,N/A,3.3,ap-northeast-2
m6g.4xlarge,16,64.0,N/A,2.5,ap-northeast-2
c5a.24xlarge,96,192.0,N/A,3.3,ap-northeast-2
r5d.large,2,16.0,75,3.1,ap-northeast-2
m6id.16xlarge,64,256.0,3800,3.5,ap-northeast-2
inf1.2xlarge,8,16.0,N/A,2.5,ap-northeast-2
r6gd.4xlarge,16,128.0,950,2.5,ap-northeast-2
m5d.24xlarge,96,384.0,3600,3.1,ap-northeast-2
m6g.8xlarge,32,128.0,N/A,2.5,ap-northeast-2
i4i.2xlarge,8,64.0,1875,3.5,ap-northeast-2
m5zn.metal,48,192.0,N/A,4.5,ap-northeast-2
c6id.32xlarge,128,256.0,7600,3.5,ap-northeast-2
m6i.4xlarge,16,64.0,N/A,3.5,ap-northeast-2
x2idn.metal,128,2048.0,3800,3.5,ap-northeast-2
r5.metal,96,768.0,N/A,3.1,ap-northeast-2
g5g.16xlarge,64,128.0,N/A,2.5,ap-northeast-2
m6i.16xlarge,64,256.0,N/A,3.5,ap-northeast-2
r5d.2xlarge,8,64.0,300,3.1,ap-northeast-2
r5ad.2xlarge,8,64.0,300,2.2,ap-northeast-2
r7i.metal-24xl,96,768.0,N/A,3.2,ap-northeast-2
r5b.4xlarge,16,128.0,N/A,3.1,ap-northeast-2
r5d.24xlarge,96,768.0,3600,3.1,ap-northeast-2
c4.xlarge,4,7.5,N/A,2.9,ap-northeast-2
r5a.4xlarge,16,128.0,N/A,2.5,ap-northeast-2
r6i.16xlarge,64,512.0,N/A,3.5,ap-northeast-2
t3.nano,2,0.5,N/A,2.5,ap-northeast-2
x2idn.16xlarge,64,1024.0,1900,3.5,ap-northeast-2
c5d.4xlarge,16,32.0,400,3.4,ap-northeast-2
r5dn.xlarge,4,32.0,150,3.1,ap-northeast-2
c4.2xlarge,8,15.0,N/A,2.9,ap-northeast-2
c5d.18xlarge,72,144.0,1800,3.4,ap-northeast-2
c6gn.medium,1,2.0,N/A,2.5,ap-northeast-2
c6in.large,2,4.0,N/A,3.5,ap-northeast-2
m4.16xlarge,64,256.0,N/A,2.3,ap-northeast-2
r3.4xlarge,16,122.0,320,2.5,ap-northeast-2
m6i.32xlarge,128,512.0,N/A,3.5,ap-northeast-2
m4.large,2,8.0,N/A,2.4,ap-northeast-2
u-6tb1.112xlarge,448,6144.0,N/A,2.1,ap-northeast-2
r3.xlarge,4,30.5,80,2.5,ap-northeast-2
g5.12xlarge,48,192.0,3800,3.3,ap-northeast-2
r5b.24xlarge,96,768.0,N/A,3.1,ap-northeast-2
c6gd.xlarge,4,8.0,237,2.5,ap-northeast-2
r7g.8xlarge,32,256.0,N/A,2.6,ap-northeast-2
p4d.24xlarge,96,1152.0,8000,3.0,ap-northeast-2
r7i.2xlarge,8,64.0,N/A,3.2,ap-northeast-2
c5.24xlarge,96,192.0,N/A,3.6,ap-northeast-2
r5ad.large,2,16.0,75,2.2,ap-northeast-2
r6id.32xlarge,128,1024.0,7600,3.5,ap-northeast-2
